FEFF0000 1057480B? 
FEFF0004 00020000? 
FEFF0008 00000000? 
FEFF000C 00000000? 
FEFF0010 0F140300? 
FEFF0014 63000000? 
FEFF0018 51610B41? 
FEFF001C 06000000? 
FEFF0020 00000000? 
FEFF0024 00000000? 
FEFF0028 00000000? 
FEFF002C 00000000? 
FEFF0030 00000000? 
FEFF0034 000011D4? 
FEFF0038 00000000? 
FEFF003C 00000000? 
FEFF0040 01000000? 
FEFF0044 00000000? 
FEFF0048 FE000000? 
FEFF004C 00000000? 
FEFF0050 00F00000? 
FEFF0054 00000000? 
FEFF0058 00000000? 
FEFF005C 00000000? 
FEFF0060 00000000? 
FEFF0064 00000000? 
FEFF0068 00000000? 
FEFF006C 00000000? 
FEFF0070 00000000? 
FEFF0074 00000000? 
FEFF0078 00000000? 
FEFF007C 00000000? 
FEFF0080 000FFFFF? 
FEFF0084 FFFF0000? 
FEFF0088 000FFFFF? 
FEFF008C FFFF0000? 
FEFF0090 60000000? 
FEFF0094 00210000? 
FEFF0098 00000000? 
FEFF009C 00000000? 
FEFF00A0 00000000? 
FEFF00A4 00000000? 
FEFF00A8 00000000? 
FEFF00AC 00000000? 
FEFF00B0 00000000? 
FEFF00B4 00000000? 
FEFF00B8 00000000? 
FEFF00BC 00000000? 
FEFF00C0 0000C103? 
FEFF00C4 0300F0DA? 
FEFF00C8 D8000100? 
FEFF00CC 0060005F? 
FEFF00D0 8000001B? 
FEFF00D4 00000000? 
FEFF00D8 00000000? 
FEFF00DC 00000000? 
FEFF00E0 FF010000? 
FEFF00E4 4000FFFF? 
FEFF00E8 00000000? 
FEFF00EC 00000000? 
FEFF00F0 00000000? 
FEFF00F4 00000000? 
FEFF00F8 00000000? 
FEFF00FC 00000000? 
FEFF0100 00000000? 
FEFF0104 17130000? 
FEFF0108 00000000? 
FEFF010C 00000000? 
FEFF0110 00050100? 
FEFF0114 00000000? 
FEFF0118 00000000? 
FEFF011C 00000000? 
FEFF0120 00000000? 
FEFF0124 00000000? 
FEFF0128 00000000? 
FEFF012C 00000000? 
FEFF0130 00000000? 
FEFF0134 00000000? 
FEFF0138 00000000? 
FEFF013C 00000000? 
FEFF0140 0000A700? 
FEFF0144 00000000? 
FEFF0148 00000000? 
FEFF014C 00000000? 
FEFF0150 F000F1FF? 
FEFF0154 E9F00000? 
FEFF0158 FF80FF8F? 
FEFF015C EBF00000? 
FEFF0160 00000000? 
FEFF0164 20F00000? 
FEFF0168 00000000? 
FEFF016C 20F00000? 
FEFF0170 01000000? 
FEFF0174 00000000? 
FEFF0178 00000000? 
FEFF017C 00000000? 
FEFF0180 000001F3? 
FEFF0184 00000001? 
FEFF0188 00000000? 
FEFF018C 00000000? 
FEFF0190 00000000? 
FEFF0194 00000001? 
FEFF0198 00000000? 
FEFF019C 000000BE? 
FEFF01A0 000001F3? 
FEFF01A4 00000000? 
FEFF01A8 00000000? 
FEFF01AC 00000000? 
FEFF01B0 00000000? 
FEFF01B4 00000001? 
FEFF01B8 00000000? 
FEFF01BC 00000000? 
FEFF01C0 00000000? 
FEFF01C4 00000000? 
FEFF01C8 00000000? 
FEFF01CC 00000000? 
FEFF01D0 00000000? 
FEFF01D4 00000000? 
FEFF01D8 00000000? 
FEFF01DC 00000000? 
FEFF01E0 00000000? 
FEFF01E4 00000000? 
FEFF01E8 00000000? 
FEFF01EC 00000000? 
FEFF01F0 00000000? 
FEFF01F4 00000000? 
FEFF01F8 00000000? 
FEFF01FC 00000000? 
FEFF0200 00010000? 
FEFF0204 30080000? 
FEFF0208 00000000? 
FEFF020C 00000000? 
FEFF0210 FFFFFFFF? 
FEFF0214 00000000? 
FEFF0218 00000000? 
FEFF021C 00000000? 
FEFF0220 8000CFFF? 
FEFF0224 00000092? 
FEFF0228 00000000? 
FEFF022C 00000000? 
FEFF0230 D000EFFF? 
FEFF0234 30000782? 
FEFF0238 FE00FE7F? 
FEFF023C 02000080? 
FEFF0240 00000000? 
FEFF0244 00000000? 
FEFF0248 00000000? 
FEFF024C 00000000? 
FEFF0250 00000000? 
FEFF0254 02000000? 
FEFF0258 00000000? 
FEFF025C 00000000? 
FEFF0260 00000000? 
FEFF0264 00000600? 
FEFF0268 00000000? 
FEFF026C 00000700? 
FEFF0270 00000000? 
FEFF0274 00000000? 
FEFF0278 00000000? 
FEFF027C 00000000? 
FEFF0280 00000000? 
FEFF0284 00000000? 
FEFF0288 00000000? 
FEFF028C 00000000? 
FEFF0290 00000000? 
FEFF0294 00000000? 
FEFF0298 00000000? 
FEFF029C 00000000? 
FEFF02A0 00000000? 
FEFF02A4 00000000? 
FEFF02A8 00000000? 
FEFF02AC 00000000? 
FEFF02B0 FFFFFFFF? 
FEFF02B4 00000000? 
FEFF02B8 00000000? 
FEFF02BC 00000000? 
FEFF02C0 00080000? 
FEFF02C4 00080000? 
FEFF02C8 000C0000? 
FEFF02CC 000C0000? 
FEFF02D0 00000000? 
FEFF02D4 00000000? 
FEFF02D8 00040000? 
FEFF02DC 00040000? 
FEFF02E0 00070000? 
FEFF02E4 00000000? 
FEFF02E8 00000000? 
FEFF02EC 00000000? 
FEFF02F0 00000000? 
FEFF02F4 00000000? 
FEFF02F8 00000000? 
FEFF02FC 00000000? 
FEFF0300 57100B48? 
FEFF0304 0600A032? 
FEFF0308 02000006? 
FEFF030C 00000000? 
FEFF0310 00000000? 
FEFF0314 00000000? 
FEFF0318 00000000? 
FEFF031C 00000000? 
FEFF0320 00000000? 
FEFF0324 00000000? 
FEFF0328 00000000? 
FEFF032C 00005710? 
FEFF0330 00000000? 
FEFF0334 00000000? 
FEFF0338 00000000? 
FEFF033C 00010000? 
FEFF0340 00000000? 
FEFF0344 40000000? 
FEFF0348 00000000? 
FEFF034C 48770800? 
FEFF0350 00000000? 
FEFF0354 48770800? 
FEFF0358 00000000? 
FEFF035C 48770800? 
FEFF0360 00000000? 
FEFF0364 48770800? 

========================


vxWorks regs:

-> m 0xfeff0220,4
feff0220:  8300c37f-
feff0224:  00000782-
feff0228:  fd00fd80-
feff022c:  03000580-
feff0230:  d000efff-
feff0234:  30000782-
feff0238:  fd00fd0f-
feff023c:  03000080-
feff0240:  00000000-
feff0244:  00000000-
feff0248:  00000000-
feff024c:  00000000-.

