######## Translation table for ROC # 2
######## Tue Aug 12 09:43:47 EDT 1997
######## By uid=2420(burin) gid=15(users)
######## Version # 3
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	26	12	0	52	0	2	6	1877	0
DC0 	5	28	12	0	52	0	2	6	1877	1
DC0 	5	30	12	0	52	0	2	6	1877	2
DC0 	5	29	12	0	52	0	2	6	1877	3
DC0 	5	27	12	0	52	0	2	6	1877	4
DC0 	5	25	12	0	52	0	2	6	1877	5
DC0 	5	26	11	0	52	0	2	6	1877	6
DC0 	5	28	11	0	52	0	2	6	1877	7
DC0 	5	30	15	0	52	0	2	6	1877	8
DC0 	5	29	15	0	52	0	2	6	1877	9
DC0 	5	27	15	0	52	0	2	6	1877	10
DC0 	5	25	15	0	52	0	2	6	1877	11
DC0 	5	26	14	0	52	0	2	6	1877	12
DC0 	5	28	14	0	52	0	2	6	1877	13
DC0 	5	30	14	0	52	0	2	6	1877	14
DC0 	5	29	14	0	52	0	2	6	1877	15
DC0 	5	27	10	0	52	0	2	6	1877	16
DC0 	5	25	10	0	52	0	2	6	1877	17
DC0 	5	26	9	0	52	0	2	6	1877	18
DC0 	5	28	9	0	52	0	2	6	1877	19
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	30	9	0	52	0	2	6	1877	20
DC0 	5	29	9	0	52	0	2	6	1877	21
DC0 	5	27	9	0	52	0	2	6	1877	22
DC0 	5	25	9	0	52	0	2	6	1877	23
DC0 	5	26	4	0	52	0	2	6	1877	24
DC0 	5	28	4	0	52	0	2	6	1877	25
DC0 	5	30	4	0	52	0	2	6	1877	26
DC0 	5	29	4	0	52	0	2	6	1877	27
DC0 	5	27	4	0	52	0	2	6	1877	28
DC0 	5	25	4	0	52	0	2	6	1877	29
DC0 	5	26	3	0	52	0	2	6	1877	30
DC0 	5	28	3	0	52	0	2	6	1877	31
DC0 	5	30	7	0	52	0	2	6	1877	32
DC0 	5	29	7	0	52	0	2	6	1877	33
DC0 	5	27	7	0	52	0	2	6	1877	34
DC0 	5	25	7	0	52	0	2	6	1877	35
DC0 	5	26	6	0	52	0	2	6	1877	36
DC0 	5	28	6	0	52	0	2	6	1877	37
DC0 	5	30	6	0	52	0	2	6	1877	38
DC0 	5	29	6	0	52	0	2	6	1877	39
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0 	5	27	2	0	52	0	2	6	1877	40
DC0 	5	25	2	0	52	0	2	6	1877	41
DC0 	5	26	1	0	52	0	2	6	1877	42
DC0 	5	28	1	0	52	0	2	6	1877	43
DC0 	5	30	1	0	52	0	2	6	1877	44
DC0 	5	29	1	0	52	0	2	6	1877	45
DC0 	5	27	1	0	52	0	2	6	1877	46
DC0 	5	25	1	0	52	0	2	6	1877	47
DC0 	5	26	28	0	52	0	2	6	1877	48
DC0 	5	28	28	0	52	0	2	6	1877	49
DC0 	5	30	28	0	52	0	2	6	1877	50
DC0 	5	29	28	0	52	0	2	6	1877	51
DC0 	5	27	28	0	52	0	2	6	1877	52
DC0 	5	25	28	0	52	0	2	6	1877	53
DC0 	5	26	27	0	52	0	2	6	1877	54
DC0 	5	28	27	0	52	0	2	6	1877	55
