######## Translation table for ROC # 5
######## Tue Aug 12 10:17:27 EDT 1997
######## By uid=2420(burin) gid=15(users)
######## Version # 3
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2        7      130     0       31      0        5       5      1877     0
DC0     2        9      128     0       31      0        5       5      1877     1
DC0     2        8      128     0       31      0        5       5      1877     2
DC0     2        7      129     0       31      0        5       5      1877     3
DC0     2       10      126     0       31      0        5       5      1877     4
DC0     2        9      127     0       31      0        5       5      1877     5
DC0     2        8      127     0       31      0        5       5      1877     6
DC0     2        7      128     0       31      0        5       5      1877     7
DC0     2       10      123     0       31      0        5       5      1877     8
DC0     2        9      124     0       31      0        5       5      1877     9
DC0     2        8      124     0       31      0        5       5      1877    10
DC0     2        7      125     0       31      0        5       5      1877    11
DC0     2       10      122     0       31      0        5       5      1877    12
DC0     2        9      123     0       31      0        5       5      1877    13
DC0     2        8      123     0       31      0        5       5      1877    14
DC0     2        7      124     0       31      0        5       5      1877    15
DC0     2        8      134     0       31      0        5       5      1877    16
DC0     2        7      135     0       31      0        5       5      1877    17
DC0     2        9      133     0       31      0        5       5      1877    18
DC0     2        8      133     0       31      0        5       5      1877    19
DC0     2        7      134     0       31      0        5       5      1877    20
DC0     2        9      132     0       31      0        5       5      1877    21
DC0     2        8      132     0       31      0        5       5      1877    22
DC0     2        7      133     0       31      0        5       5      1877    23
DC0     2        9      139     0       31      0        5       5      1877    32
DC0     2        8      139     0       31      0        5       5      1877    33
DC0     2        7      140     0       31      0        5       5      1877    34
DC0     2        9      138     0       31      0        5       5      1877    35
DC0     2        8      138     0       31      0        5       5      1877    36
DC0     2        7      139     0       31      0        5       5      1877    37
DC0     2        9      137     0       31      0        5       5      1877    38
DC0     2        8      137     0       31      0        5       5      1877    39
#fake
DC0     2        5      33      0       31      0        5       5      1877    40
DC0     2        5      34      0       31      0        5       5      1877    41
DC0     2        5      35      0       31      0        5       5      1877    42
DC0     2        5      36      0       31      0        5       5      1877    43
DC0     2        5      37      0       31      0        5       5      1877    44
DC0     2        5      38      0       31      0        5       5      1877    45
DC0     2        5      39      0       31      0        5       5      1877    46
DC0     2        5      40      0       31      0        5       5      1877    47
#
DC0     2        4      116     0       31      0        5       5      1877    48
DC0     2        3      117     0       31      0        5       5      1877    49
DC0     2        2      117     0       31      0        5       5      1877    50
DC0     2        1      118     0       31      0        5       5      1877    51
DC0     2        4      117     0       31      0        5       5      1877    52
DC0     2        3      118     0       31      0        5       5      1877    53
DC0     2        2      118     0       31      0        5       5      1877    54
DC0     2        1      119     0       31      0        5       5      1877    55
DC0     2        1      114     0       31      0        5       5      1877    56
DC0     2        2      113     0       31      0        5       5      1877    57
DC0     2        3      113     0       31      0        5       5      1877    58
DC0     2        4      112     0       31      0        5       5      1877    59
DC0     2        1      115     0       31      0        5       5      1877    60
DC0     2        2      114     0       31      0        5       5      1877    61
DC0     2        3      114     0       31      0        5       5      1877    62
DC0     2        4      113     0       31      0        5       5      1877    63
DC0     2        4      120     0       31      0        5       5      1877    64
DC0     2        3      121     0       31      0        5       5      1877    65
DC0     2        2      121     0       31      0        5       5      1877    66
DC0     2        1      122     0       31      0        5       5      1877    67
DC0     2        4      121     0       31      0        5       5      1877    68
DC0     2        3      122     0       31      0        5       5      1877    69
DC0     2        2      122     0       31      0        5       5      1877    70
DC0     2        1      123     0       31      0        5       5      1877    71
DC0     2        4      128     0       31      0        5       5      1877    72
DC0     2        3      129     0       31      0        5       5      1877    73
DC0     2        2      129     0       31      0        5       5      1877    74
DC0     2        1      130     0       31      0        5       5      1877    75
DC0     2        4      129     0       31      0        5       5      1877    76
DC0     2        3      130     0       31      0        5       5      1877    77
DC0     2        2      130     0       31      0        5       5      1877    78
DC0     2        4      130     0       31      0        5       5      1877    79
DC0     2        4      124     0       31      0        5       5      1877    80
DC0     2        3      125     0       31      0        5       5      1877    81
DC0     2        2      125     0       31      0        5       5      1877    82
DC0     2        1      126     0       31      0        5       5      1877    83
DC0     2        4      125     0       31      0        5       5      1877    84
DC0     2        3      126     0       31      0        5       5      1877    85
DC0     2        2      126     0       31      0        5       5      1877    86
DC0     2        1      127     0       31      0        5       5      1877    87
#fake
DC0     2        5      41      0       31      0        5       5      1877    88
DC0     2        5      42      0       31      0        5       5      1877    89
DC0     2        5      43      0       31      0        5       5      1877    90
DC0     2        5      44      0       31      0        5       5      1877    91
DC0     2        5      45      0       31      0        5       5      1877    92
DC0     2        5      46      0       31      0        5       5      1877    93
