######## Translation table for ROC # 12
######## Tue May 27 16:54:04 EDT 1997
######## By uid=1990(serov) gid=146(clas)
######## Version # 1
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
IC  	0	0x14	0x09	1	880	0	12	25	1881	 0
IC  	0	0x0f	0x0b	1	880	0	12	25	1881	 1
IC  	0	0x14	0x0a	1	880	0	12	25	1881	 2
IC  	0	0x10	0x0a	1	880	0	12	25	1881	 3
IC  	0	0x14	0x0b	1	880	0	12	25	1881	 4
IC  	0	0x0f	0x0a	1	880	0	12	25	1881	 5
IC  	0	0x15	0x05	1	880	0	12	25	1881	 6
IC  	0	0x16	0x0b	1	880	0	12	25	1881	 7
IC  	0	0x10	0x09	1	880	0	12	25	1881	 8
IC  	0	0x16	0x0a	1	880	0	12	25	1881	 9
IC  	0	0x0e	0x09	1	880	0	12	25	1881	10
IC  	0	0x16	0x09	1	880	0	12	25	1881	11
IC  	0	0x0f	0x09	1	880	0	12	25	1881	12
IC  	0	0x16	0x08	1	880	0	12	25	1881	13
IC  	0	0x0e	0x0a	1	880	0	12	25	1881	14
IC  	0	0x0d	0x09	1	880	0	12	25	1881	15
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
IC  	0	0x15	0x06	1	880	0	12	25	1881	16
IC  	0	0x16	0x07	1	880	0	12	25	1881	17
IC  	0	0x15	0x07	1	880	0	12	25	1881	18
IC  	0	0x15	0x0b	1	880	0	12	25	1881	19
IC  	0	0x16	0x06	1	880	0	12	25	1881	20
IC  	0	0x15	0x0a	1	880	0	12	25	1881	21
IC  	0	0x15	0x08	1	880	0	12	25	1881	22
IC  	0	0x15	0x09	1	880	0	12	25	1881	23
IC  	0	0x12	0x02	1	880	0	12	25	1881	24
IC  	0	0x0f	0x08	1	880	0	12	25	1881	25
IC  	0	0x12	0x03	1	880	0	12	25	1881	26
IC  	0	0x0e	0x08	1	880	0	12	25	1881	27
IC  	0	0x12	0x04	1	880	0	12	25	1881	28
IC  	0	0x10	0x08	1	880	0	12	25	1881	29
IC  	0	0x13	0x03	1	880	0	12	25	1881	30
IC  	0	0x0c	0x09	1	880	0	12	25	1881	31
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
IC  	0	0x13	0x05	1	880	0	12	25	1881	32
IC  	0	0x14	0x08	1	880	0	12	25	1881	33
IC  	0	0x13	0x06	1	880	0	12	25	1881	34
IC  	0	0x14	0x07	1	880	0	12	25	1881	35
IC  	0	0x13	0x07	1	880	0	12	25	1881	36
IC  	0	0x14	0x06	1	880	0	12	25	1881	37
IC  	0	0x13	0x08	1	880	0	12	25	1881	38
IC  	0	0x14	0x05	1	880	0	12	25	1881	39
IC  	0	0x13	0x09	1	880	0	12	25	1881	40
IC  	0	0x14	0x04	1	880	0	12	25	1881	41
IC  	0	0x13	0x04	1	880	0	12	25	1881	42
IC  	0	0x13	0x0c	1	880	0	12	25	1881	43
IC  	0	0x0c	0x08	1	880	0	12	25	1881	44
IC  	0	0x13	0x0b	1	880	0	12	25	1881	45
IC  	0	0x0d	0x08	1	880	0	12	25	1881	46
IC  	0	0x13	0x0a	1	880	0	12	25	1881	47
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
IC  	0	0x11	0x02	1	880	0	12	25	1881	48
IC  	0	0x12	0x0c	1	880	0	12	25	1881	49
IC  	0	0x11	0x03	1	880	0	12	25	1881	50
IC  	0	0x12	0x0b	1	880	0	12	25	1881	51
IC  	0	0x11	0x04	1	880	0	12	25	1881	52
IC  	0	0x12	0x0a	1	880	0	12	25	1881	53
IC  	0	0x11	0x05	1	880	0	12	25	1881	54
IC  	0	0x12	0x09	1	880	0	12	25	1881	55
IC  	0	0x11	0x06	1	880	0	12	25	1881	56
IC  	0	0x12	0x08	1	880	0	12	25	1881	57
IC  	0	0x11	0x07	1	880	0	12	25	1881	58
IC  	0	0x12	0x07	1	880	0	12	25	1881	59
IC  	0	0x11	0x08	1	880	0	12	25	1881	60
IC  	0	0x12	0x06	1	880	0	12	25	1881	61
IC  	0	0x12	0x05	1	880	0	12	25	1881	63
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
IC  	0	0x11	0x0c	1	880	0	12	24	1881	 0
IC  	0	0x11	0x0b	1	880	0	12	24	1881	 1
IC  	0	0x11	0x0a	1	880	0	12	24	1881	 2
IC  	0	0x11	0x09	1	880	0	12	24	1881	 3
IC  	0	0x0d	0x06	1	880	0	12	24	1881	 4
IC  	0	0x11	0x01	1	880	0	12	24	1881	 5
IC  	0	0x0d	0x07	1	880	0	12	24	1881	 6
IC  	0	0x10	0x07	1	880	0	12	24	1881	 7
IC  	0	0x0e	0x01	1	880	0	12	24	1881	 8
IC  	0	0x10	0x06	1	880	0	12	24	1881	 9
IC  	0	0x0e	0x02	1	880	0	12	24	1881	10
IC  	0	0x10	0x05	1	880	0	12	24	1881	11
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
IC  	0	0x0e	0x03	1	880	0	12	24	1881	16
IC  	0	0x10	0x04	1	880	0	12	24	1881	17
IC  	0	0x0e	0x04	1	880	0	12	24	1881	18
IC  	0	0x10	0x03	1	880	0	12	24	1881	19
IC  	0	0x0e	0x05	1	880	0	12	24	1881	20
IC  	0	0x10	0x02	1	880	0	12	24	1881	21
IC  	0	0x0e	0x06	1	880	0	12	24	1881	22
IC  	0	0x10	0x01	1	880	0	12	24	1881	23
IC  	0	0x0e	0x07	1	880	0	12	24	1881	24
IC  	0	0x0f	0x07	1	880	0	12	24	1881	25
IC  	0	0x0f	0x01	1	880	0	12	24	1881	26
IC  	0	0x0f	0x06	1	880	0	12	24	1881	27
IC  	0	0x0f	0x02	1	880	0	12	24	1881	28
IC  	0	0x0f	0x05	1	880	0	12	24	1881	29
IC  	0	0x0f	0x03	1	880	0	12	24	1881	30
IC  	0	0x0f	0x04	1	880	0	12	24	1881	31
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
IC  	0	0x10	0x0b	1	880	0	12	24	1881	12
IC  	0	0x17	0x0b	1	880	0	12	24	1881	33
IC  	0	0x0f	0x0c	1	880	0	12	24	1881	34
IC  	0	0x17	0x0a	1	880	0	12	24	1881	35
IC  	0	0x10	0x0c	1	880	0	12	24	1881	36
IC  	0	0x17	0x09	1	880	0	12	24	1881	37
IC  	0	0x17	0x07	1	880	0	12	24	1881	38
IC  	0	0x17	0x08	1	880	0	12	24	1881	39
IC  	0	0x0d	0x02	1	880	0	12	24	1881	40
IC  	0	0x0d	0x01	1	880	0	12	24	1881	41
IC  	0	0x0d	0x03	1	880	0	12	24	1881	42
IC  	0	0x0c	0x07	1	880	0	12	24	1881	43
IC  	0	0x0d	0x04	1	880	0	12	24	1881	44
IC  	0	0x0c	0x06	1	880	0	12	24	1881	45
IC  	0	0x0d	0x05	1	880	0	12	24	1881	46
IC  	0	0x0c	0x05	1	880	0	12	24	1881	47
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
IC  	0	0x15	0x13	1	880	0	12	24	1881	48
IC  	0	0x15	0x0f	1	880	0	12	24	1881	49
IC  	0	0x15	0x12	1	880	0	12	24	1881	50
IC  	0	0x15	0x0e	1	880	0	12	24	1881	51
IC  	0	0x10	0x0d	1	880	0	12	24	1881	52
IC  	0	0x15	0x0d	1	880	0	12	24	1881	53
IC  	0	0x14	0x0c	1	880	0	12	24	1881	54
IC  	0	0x15	0x0c	1	880	0	12	24	1881	55
IC  	0	0x14	0x0d	1	880	0	12	24	1881	56
IC  	0	0x15	0x11	1	880	0	12	24	1881	57
IC  	0	0x14	0x0e	1	880	0	12	24	1881	58
IC  	0	0x15	0x10	1	880	0	12	24	1881	59
IC  	0	0x14	0x0f	1	880	0	12	24	1881	60
IC  	0	0x16	0x12	1	880	0	12	24	1881	61
IC  	0	0x14	0x10	1	880	0	12	24	1881	62
IC  	0	0x16	0x11	1	880	0	12	24	1881	63
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
IC  	0	0x13	0x10	1	880	0	12	23	1881	 0
IC  	0	0x11	0x12	1	880	0	12	23	1881	 1
IC  	0	0x13	0x14	1	880	0	12	23	1881	 2
IC  	0	0x11	0x11	1	880	0	12	23	1881	 3
IC  	0	0x12	0x11	1	880	0	12	23	1881	 4
IC  	0	0x12	0x14	1	880	0	12	23	1881	 5
IC  	0	0x12	0x12	1	880	0	12	23	1881	 6
IC  	0	0x12	0x13	1	880	0	12	23	1881	 7
IC  	0	0x16	0x0c	1	880	0	12	23	1881	 8
IC  	0	0x0f	0x0d	1	880	0	12	23	1881	 9
IC  	0	0x16	0x0d	1	880	0	12	24	1881	13
IC  	0	0x14	0x13	1	880	0	12	23	1881	11
IC  	0	0x16	0x0e	1	880	0	12	23	1881	12
IC  	0	0x14	0x12	1	880	0	12	23	1881	13
IC  	0	0x16	0x0f	1	880	0	12	23	1881	14
IC  	0	0x14	0x11	1	880	0	12	23	1881	15
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
IC  	0	0x0e	0x0e	1	880	0	12	23	1881	16
IC  	0	0x13	0x0f	1	880	0	12	23	1881	17
IC  	0	0x14	0x14	1	880	0	12	23	1881	18
IC  	0	0x13	0x0e	1	880	0	12	23	1881	19
IC  	0	0x13	0x15	1	880	0	12	23	1881	20
IC  	0	0x13	0x0d	1	880	0	12	23	1881	21
IC  	0	0x12	0x0d	1	880	0	12	23	1881	22
IC  	0	0x13	0x13	1	880	0	12	23	1881	23
IC  	0	0x12	0x0e	1	880	0	12	23	1881	24
IC  	0	0x13	0x12	1	880	0	12	23	1881	25
IC  	0	0x12	0x0f	1	880	0	12	23	1881	26
IC  	0	0x13	0x11	1	880	0	12	23	1881	27
IC  	0	0x12	0x10	1	880	0	12	23	1881	28
IC  	0	0x0f	0x0e	1	880	0	12	23	1881	29
IC  	0	0x11	0x13	1	880	0	12	23	1881	30
IC  	0	0x10	0x0e	1	880	0	12	23	1881	31
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
IC  	0	0x10	0x17	1	880	0	12	23	1881	32
IC  	0	0x10	0x16	1	880	0	12	23	1881	33
IC  	0	0x11	0x17	1	880	0	12	23	1881	34
IC  	0	0x11	0x10	1	880	0	12	23	1881	35
IC  	0	0x0e	0x0f	1	880	0	12	23	1881	36
IC  	0	0x11	0x0f	1	880	0	12	23	1881	37
IC  	0	0x0f	0x0f	1	880	0	12	23	1881	38
IC  	0	0x11	0x0e	1	880	0	12	23	1881	39
IC  	0	0x0e	0x10	1	880	0	12	23	1881	40
IC  	0	0x11	0x0d	1	880	0	12	23	1881	41
IC  	0	0x0f	0x10	1	880	0	12	23	1881	42
IC  	0	0x11	0x16	1	880	0	12	23	1881	43
IC  	0	0x0f	0x14	1	880	0	12	23	1881	44
IC  	0	0x11	0x15	1	880	0	12	23	1881	45
IC  	0	0x0f	0x15	1	880	0	12	23	1881	46
IC  	0	0x10	0x12	1	880	0	12	23	1881	47
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
