######## Translation table for ROC # 14
######## Mon Jun  9 17:51:34 EDT 1997
######## By uid=1990(serov) gid=146(clas)
######## Version # 1
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	5	6	13	1	550	0	14	4	1881	0
EC  	5	6	14	1	550	0	14	4	1881	1
EC  	5	6	15	1	550	0	14	4	1881	2
EC  	5	6	16	1	550	0	14	4	1881	3
EC  	5	6	17	1	550	0	14	4	1881	4
EC  	5	6	18	1	550	0	14	4	1881	5
EC  	5	6	19	1	550	0	14	4	1881	6
EC  	5	6	20	1	550	0	14	4	1881	7
EC  	5	6	21	1	550	0	14	4	1881	8
EC  	5	6	22	1	550	0	14	4	1881	9
EC  	5	6	23	1	550	0	14	4	1881	10
EC  	5	6	24	1	550	0	14	4	1881	11
EC  	5	6	25	1	550	0	14	4	1881	12
EC  	5	6	26	1	550	0	14	4	1881	13
EC  	5	6	27	1	550	0	14	4	1881	14
EC  	5	6	28	1	550	0	14	4	1881	15
EC  	5	6	29	1	550	0	14	4	1881	16
EC  	5	6	30	1	550	0	14	4	1881	17
EC  	5	6	31	1	550	0	14	4	1881	18
EC  	5	6	32	1	550	0	14	4	1881	19
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	5	6	33	1	550	0	14	4	1881	20
EC  	5	6	34	1	550	0	14	4	1881	21
EC  	5	6	35	1	550	0	14	4	1881	22
EC  	5	6	36	1	550	0	14	4	1881	23
EC  	5	4	21	1	550	0	14	5	1881	0
EC  	5	4	22	1	550	0	14	5	1881	1
EC  	5	4	23	1	550	0	14	5	1881	2
EC  	5	4	24	1	550	0	14	5	1881	3
EC  	5	4	25	1	550	0	14	5	1881	4
EC  	5	4	26	1	550	0	14	5	1881	5
EC  	5	4	27	1	550	0	14	5	1881	6
EC  	5	4	28	1	550	0	14	5	1881	7
EC  	5	4	29	1	550	0	14	5	1881	8
EC  	5	4	30	1	550	0	14	5	1881	9
EC  	5	4	31	1	550	0	14	5	1881	10
EC  	5	4	32	1	550	0	14	5	1881	11
EC  	5	4	33	1	550	0	14	5	1881	12
EC  	5	4	34	1	550	0	14	5	1881	13
EC  	5	4	35	1	550	0	14	5	1881	14
EC  	5	4	36	1	550	0	14	5	1881	15
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	5	5	1	1	550	0	14	5	1881	16
EC  	5	5	2	1	550	0	14	5	1881	17
EC  	5	5	3	1	550	0	14	5	1881	18
EC  	5	5	4	1	550	0	14	5	1881	19
EC  	5	5	5	1	550	0	14	5	1881	20
EC  	5	5	6	1	550	0	14	5	1881	21
EC  	5	5	7	1	550	0	14	5	1881	22
EC  	5	5	8	1	550	0	14	5	1881	23
EC  	5	5	9	1	550	0	14	5	1881	24
EC  	5	5	10	1	550	0	14	5	1881	25
EC  	5	5	11	1	550	0	14	5	1881	26
EC  	5	5	12	1	550	0	14	5	1881	27
EC  	5	5	13	1	550	0	14	5	1881	28
EC  	5	5	14	1	550	0	14	5	1881	29
EC  	5	5	15	1	550	0	14	5	1881	30
EC  	5	5	16	1	550	0	14	5	1881	31
EC  	5	5	17	1	550	0	14	5	1881	32
EC  	5	5	18	1	550	0	14	5	1881	33
EC  	5	5	19	1	550	0	14	5	1881	34
EC  	5	5	20	1	550	0	14	5	1881	35
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	5	5	21	1	550	0	14	5	1881	36
EC  	5	5	22	1	550	0	14	5	1881	37
EC  	5	5	23	1	550	0	14	5	1881	38
EC  	5	5	24	1	550	0	14	5	1881	39
EC  	5	5	25	1	550	0	14	5	1881	40
EC  	5	5	26	1	550	0	14	5	1881	41
EC  	5	5	27	1	550	0	14	5	1881	42
EC  	5	5	28	1	550	0	14	5	1881	43
EC  	5	5	29	1	550	0	14	5	1881	44
EC  	5	5	30	1	550	0	14	5	1881	45
EC  	5	5	31	1	550	0	14	5	1881	46
EC  	5	5	32	1	550	0	14	5	1881	47
EC  	5	5	33	1	550	0	14	5	1881	48
EC  	5	5	34	1	550	0	14	5	1881	49
EC  	5	5	35	1	550	0	14	5	1881	50
EC  	5	5	36	1	550	0	14	5	1881	51
EC  	5	6	1	1	550	0	14	5	1881	52
EC  	5	6	2	1	550	0	14	5	1881	53
EC  	5	6	3	1	550	0	14	5	1881	54
EC  	5	6	4	1	550	0	14	5	1881	55
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	5	6	5	1	550	0	14	5	1881	56
EC  	5	6	6	1	550	0	14	5	1881	57
EC  	5	6	7	1	550	0	14	5	1881	58
EC  	5	6	8	1	550	0	14	5	1881	59
EC  	5	6	9	1	550	0	14	5	1881	60
EC  	5	6	10	1	550	0	14	5	1881	61
EC  	5	6	11	1	550	0	14	5	1881	62
EC  	5	6	12	1	550	0	14	5	1881	63
EC  	5	2	29	1	550	0	14	6	1881	0
EC  	5	2	30	1	550	0	14	6	1881	1
EC  	5	2	31	1	550	0	14	6	1881	2
EC  	5	2	32	1	550	0	14	6	1881	3
EC  	5	2	33	1	550	0	14	6	1881	4
EC  	5	2	34	1	550	0	14	6	1881	5
EC  	5	2	35	1	550	0	14	6	1881	6
EC  	5	2	36	1	550	0	14	6	1881	7
EC  	5	3	1	1	550	0	14	6	1881	8
EC  	5	3	2	1	550	0	14	6	1881	9
EC  	5	3	3	1	550	0	14	6	1881	10
EC  	5	3	4	1	550	0	14	6	1881	11
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	5	3	5	1	550	0	14	6	1881	12
EC  	5	3	6	1	550	0	14	6	1881	13
EC  	5	3	7	1	550	0	14	6	1881	14
EC  	5	3	8	1	550	0	14	6	1881	15
EC  	5	3	9	1	550	0	14	6	1881	16
EC  	5	3	10	1	550	0	14	6	1881	17
EC  	5	3	11	1	550	0	14	6	1881	18
EC  	5	3	12	1	550	0	14	6	1881	19
EC  	5	3	13	1	550	0	14	6	1881	20
EC  	5	3	14	1	550	0	14	6	1881	21
EC  	5	3	15	1	550	0	14	6	1881	22
EC  	5	3	16	1	550	0	14	6	1881	23
EC  	5	3	17	1	550	0	14	6	1881	24
EC  	5	3	18	1	550	0	14	6	1881	25
EC  	5	3	19	1	550	0	14	6	1881	26
EC  	5	3	20	1	550	0	14	6	1881	27
EC  	5	3	21	1	550	0	14	6	1881	28
EC  	5	3	22	1	550	0	14	6	1881	29
EC  	5	3	23	1	550	0	14	6	1881	30
EC  	5	3	24	1	550	0	14	6	1881	31
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	5	3	25	1	550	0	14	6	1881	32
EC  	5	3	26	1	550	0	14	6	1881	33
EC  	5	3	27	1	550	0	14	6	1881	34
EC  	5	3	28	1	550	0	14	6	1881	35
EC  	5	3	29	1	550	0	14	6	1881	36
EC  	5	3	30	1	550	0	14	6	1881	37
EC  	5	3	31	1	550	0	14	6	1881	38
EC  	5	3	32	1	550	0	14	6	1881	39
EC  	5	3	33	1	550	0	14	6	1881	40
EC  	5	3	34	1	550	0	14	6	1881	41
EC  	5	3	35	1	550	0	14	6	1881	42
EC  	5	3	36	1	550	0	14	6	1881	43
EC  	5	4	1	1	550	0	14	6	1881	44
EC  	5	4	2	1	550	0	14	6	1881	45
EC  	5	4	3	1	550	0	14	6	1881	46
EC  	5	4	4	1	550	0	14	6	1881	47
EC  	5	4	5	1	550	0	14	6	1881	48
EC  	5	4	6	1	550	0	14	6	1881	49
EC  	5	4	7	1	550	0	14	6	1881	50
EC  	5	4	8	1	550	0	14	6	1881	51
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	5	4	9	1	550	0	14	6	1881	52
EC  	5	4	10	1	550	0	14	6	1881	53
EC  	5	4	11	1	550	0	14	6	1881	54
EC  	5	4	12	1	550	0	14	6	1881	55
EC  	5	4	13	1	550	0	14	6	1881	56
EC  	5	4	14	1	550	0	14	6	1881	57
EC  	5	4	15	1	550	0	14	6	1881	58
EC  	5	4	16	1	550	0	14	6	1881	59
EC  	5	4	17	1	550	0	14	6	1881	60
EC  	5	4	18	1	550	0	14	6	1881	61
EC  	5	4	19	1	550	0	14	6	1881	62
EC  	5	4	20	1	550	0	14	6	1881	63
EC  	5	1	1	1	550	0	14	7	1881	0
EC  	5	1	2	1	550	0	14	7	1881	1
EC  	5	1	3	1	550	0	14	7	1881	2
EC  	5	1	4	1	550	0	14	7	1881	3
EC  	5	1	5	1	550	0	14	7	1881	4
EC  	5	1	6	1	550	0	14	7	1881	5
EC  	5	1	7	1	550	0	14	7	1881	6
EC  	5	1	8	1	550	0	14	7	1881	7
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	5	1	9	1	550	0	14	7	1881	8
EC  	5	1	10	1	550	0	14	7	1881	9
EC  	5	1	11	1	550	0	14	7	1881	10
EC  	5	1	12	1	550	0	14	7	1881	11
EC  	5	1	13	1	550	0	14	7	1881	12
EC  	5	1	14	1	550	0	14	7	1881	13
EC  	5	1	15	1	550	0	14	7	1881	14
EC  	5	1	16	1	550	0	14	7	1881	15
EC  	5	1	17	1	550	0	14	7	1881	16
EC  	5	1	18	1	550	0	14	7	1881	17
EC  	5	1	19	1	550	0	14	7	1881	18
EC  	5	1	20	1	550	0	14	7	1881	19
EC  	5	1	21	1	550	0	14	7	1881	20
EC  	5	1	22	1	550	0	14	7	1881	21
EC  	5	1	23	1	550	0	14	7	1881	22
EC  	5	1	24	1	550	0	14	7	1881	23
EC  	5	1	25	1	550	0	14	7	1881	24
EC  	5	1	26	1	550	0	14	7	1881	25
EC  	5	1	27	1	550	0	14	7	1881	26
EC  	5	1	28	1	550	0	14	7	1881	27
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	5	1	29	1	550	0	14	7	1881	28
EC  	5	1	30	1	550	0	14	7	1881	29
EC  	5	1	31	1	550	0	14	7	1881	30
EC  	5	1	32	1	550	0	14	7	1881	31
EC  	5	1	33	1	550	0	14	7	1881	32
EC  	5	1	34	1	550	0	14	7	1881	33
EC  	5	1	35	1	550	0	14	7	1881	34
EC  	5	1	36	1	550	0	14	7	1881	35
EC  	5	2	1	1	550	0	14	7	1881	36
EC  	5	2	2	1	550	0	14	7	1881	37
EC  	5	2	3	1	550	0	14	7	1881	38
EC  	5	2	4	1	550	0	14	7	1881	39
EC  	5	2	5	1	550	0	14	7	1881	40
EC  	5	2	6	1	550	0	14	7	1881	41
EC  	5	2	7	1	550	0	14	7	1881	42
EC  	5	2	8	1	550	0	14	7	1881	43
EC  	5	2	9	1	550	0	14	7	1881	44
EC  	5	2	10	1	550	0	14	7	1881	45
EC  	5	2	11	1	550	0	14	7	1881	46
EC  	5	2	12	1	550	0	14	7	1881	47
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	5	2	13	1	550	0	14	7	1881	48
EC  	5	2	14	1	550	0	14	7	1881	49
EC  	5	2	15	1	550	0	14	7	1881	50
EC  	5	2	16	1	550	0	14	7	1881	51
EC  	5	2	17	1	550	0	14	7	1881	52
EC  	5	2	18	1	550	0	14	7	1881	53
EC  	5	2	19	1	550	0	14	7	1881	54
EC  	5	2	20	1	550	0	14	7	1881	55
EC  	5	2	21	1	550	0	14	7	1881	56
EC  	5	2	22	1	550	0	14	7	1881	57
EC  	5	2	23	1	550	0	14	7	1881	58
EC  	5	2	24	1	550	0	14	7	1881	59
EC  	5	2	25	1	550	0	14	7	1881	60
EC  	5	2	26	1	550	0	14	7	1881	61
EC  	5	2	27	1	550	0	14	7	1881	62
EC  	5	2	28	1	550	0	14	7	1881	63
EC  	4	5	17	1	540	0	14	8	1881	0
EC  	4	5	18	1	540	0	14	8	1881	1
EC  	4	5	19	1	540	0	14	8	1881	2
EC  	4	5	20	1	540	0	14	8	1881	3
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	4	5	21	1	540	0	14	8	1881	4
EC  	4	5	22	1	540	0	14	8	1881	5
EC  	4	5	23	1	540	0	14	8	1881	6
EC  	4	5	24	1	540	0	14	8	1881	7
EC  	4	5	25	1	540	0	14	8	1881	8
EC  	4	5	26	1	540	0	14	8	1881	9
EC  	4	5	27	1	540	0	14	8	1881	10
EC  	4	5	28	1	540	0	14	8	1881	11
EC  	4	5	29	1	540	0	14	8	1881	12
EC  	4	5	30	1	540	0	14	8	1881	13
EC  	4	5	31	1	540	0	14	8	1881	14
EC  	4	5	32	1	540	0	14	8	1881	15
EC  	4	5	33	1	540	0	14	8	1881	16
EC  	4	5	34	1	540	0	14	8	1881	17
EC  	4	5	35	1	540	0	14	8	1881	18
EC  	4	5	36	1	540	0	14	8	1881	19
EC  	4	6	1	1	540	0	14	8	1881	20
EC  	4	6	2	1	540	0	14	8	1881	21
EC  	4	6	3	1	540	0	14	8	1881	22
EC  	4	6	4	1	540	0	14	8	1881	23
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	4	6	5	1	540	0	14	8	1881	24
EC  	4	6	6	1	540	0	14	8	1881	25
EC  	4	6	7	1	540	0	14	8	1881	26
EC  	4	6	8	1	540	0	14	8	1881	27
EC  	4	6	9	1	540	0	14	8	1881	28
EC  	4	6	10	1	540	0	14	8	1881	29
EC  	4	6	11	1	540	0	14	8	1881	30
EC  	4	6	12	1	540	0	14	8	1881	31
EC  	4	6	13	1	540	0	14	8	1881	32
EC  	4	6	14	1	540	0	14	8	1881	33
EC  	4	6	15	1	540	0	14	8	1881	34
EC  	4	6	16	1	540	0	14	8	1881	35
EC  	4	6	17	1	540	0	14	8	1881	36
EC  	4	6	18	1	540	0	14	8	1881	37
EC  	4	6	19	1	540	0	14	8	1881	38
EC  	4	6	20	1	540	0	14	8	1881	39
EC  	4	6	21	1	540	0	14	8	1881	40
EC  	4	6	22	1	540	0	14	8	1881	41
EC  	4	6	23	1	540	0	14	8	1881	42
EC  	4	6	24	1	540	0	14	8	1881	43
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	4	6	25	1	540	0	14	8	1881	44
EC  	4	6	26	1	540	0	14	8	1881	45
EC  	4	6	27	1	540	0	14	8	1881	46
EC  	4	6	28	1	540	0	14	8	1881	47
EC  	4	6	29	1	540	0	14	8	1881	48
EC  	4	6	30	1	540	0	14	8	1881	49
EC  	4	6	31	1	540	0	14	8	1881	50
EC  	4	6	32	1	540	0	14	8	1881	51
EC  	4	6	33	1	540	0	14	8	1881	52
EC  	4	6	34	1	540	0	14	8	1881	53
EC  	4	6	35	1	540	0	14	8	1881	54
EC  	4	6	36	1	540	0	14	8	1881	55
EC  	4	3	25	1	540	0	14	9	1881	0
EC  	4	3	26	1	540	0	14	9	1881	1
EC  	4	3	27	1	540	0	14	9	1881	2
EC  	4	3	28	1	540	0	14	9	1881	3
EC  	4	3	29	1	540	0	14	9	1881	4
EC  	4	3	30	1	540	0	14	9	1881	5
EC  	4	3	31	1	540	0	14	9	1881	6
EC  	4	3	32	1	540	0	14	9	1881	7
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	4	3	33	1	540	0	14	9	1881	8
EC  	4	3	34	1	540	0	14	9	1881	9
EC  	4	3	35	1	540	0	14	9	1881	10
EC  	4	3	36	1	540	0	14	9	1881	11
EC  	4	4	1	1	540	0	14	9	1881	12
EC  	4	4	2	1	540	0	14	9	1881	13
EC  	4	4	3	1	540	0	14	9	1881	14
EC  	4	4	4	1	540	0	14	9	1881	15
EC  	4	4	5	1	540	0	14	9	1881	16
EC  	4	4	6	1	540	0	14	9	1881	17
EC  	4	4	7	1	540	0	14	9	1881	18
EC  	4	4	8	1	540	0	14	9	1881	19
EC  	4	4	9	1	540	0	14	9	1881	20
EC  	4	4	10	1	540	0	14	9	1881	21
EC  	4	4	11	1	540	0	14	9	1881	22
EC  	4	4	12	1	540	0	14	9	1881	23
EC  	4	4	13	1	540	0	14	9	1881	24
EC  	4	4	14	1	540	0	14	9	1881	25
EC  	4	4	15	1	540	0	14	9	1881	26
EC  	4	4	16	1	540	0	14	9	1881	27
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	4	4	17	1	540	0	14	9	1881	28
EC  	4	4	18	1	540	0	14	9	1881	29
EC  	4	4	19	1	540	0	14	9	1881	30
EC  	4	4	20	1	540	0	14	9	1881	31
EC  	4	4	21	1	540	0	14	9	1881	32
EC  	4	4	22	1	540	0	14	9	1881	33
EC  	4	4	23	1	540	0	14	9	1881	34
EC  	4	4	24	1	540	0	14	9	1881	35
EC  	4	4	25	1	540	0	14	9	1881	36
EC  	4	4	26	1	540	0	14	9	1881	37
EC  	4	4	27	1	540	0	14	9	1881	38
EC  	4	4	28	1	540	0	14	9	1881	39
EC  	4	4	29	1	540	0	14	9	1881	40
EC  	4	4	30	1	540	0	14	9	1881	41
EC  	4	4	31	1	540	0	14	9	1881	42
EC  	4	4	32	1	540	0	14	9	1881	43
EC  	4	4	33	1	540	0	14	9	1881	44
EC  	4	4	34	1	540	0	14	9	1881	45
EC  	4	4	35	1	540	0	14	9	1881	46
EC  	4	4	36	1	540	0	14	9	1881	47
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	4	5	1	1	540	0	14	9	1881	48
EC  	4	5	2	1	540	0	14	9	1881	49
EC  	4	5	3	1	540	0	14	9	1881	50
EC  	4	5	4	1	540	0	14	9	1881	51
EC  	4	5	5	1	540	0	14	9	1881	52
EC  	4	5	6	1	540	0	14	9	1881	53
