######## Translation table for ROC # 15
######## Thu Jun  5 16:28:48 EDT 1997
######## By uid=1990(serov) gid=146(clas)
######## Version # 1
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
#SH  	1	1	1	1	880	0	15	14	1881	 0
#SH  	1	1	2	1	880	0	15	14	1881	 1
#SH  	1	1	3	1	880	0	15	14	1881	 2
#SH  	1	1	4	1	880	0	15	14	1881	 3
#SH  	1	1	5	1	880	0	15	14	1881	 4
#SH  	1	1	6	1	880	0	15	14	1881	 5
#SH  	1	1	7	1	880	0	15	14	1881	 6
#SH  	1	1	8	1	880	0	15	14	1881	 7
#SH  	1	1	9	1	880	0	15	14	1881	 8
#SH  	1	1	10	1	880	0	15	14	1881	 9
#SH  	1	1	11	1	880	0	15	14	1881	10
#SH  	1	1	12	1	880	0	15	14	1881	11
#SH  	1	1	13	1	880	0	15	14	1881	12
#SH  	1	1	14	1	880	0	15	14	1881	13
####SH  	1	1	15	1	880	0	15	14	1881	14
#SH  	1	1	16	1	880	0	15	14	1881	15
#SH  	1	1	17	1	880	0	15	14	1881	16
#SH  	1	1	18	1	880	0	15	14	1881	17
#SH  	1	2	1	1	880	0	15	14	1881	18
#SH  	1	2	2	1	880	0	15	14	1881	19
#SH  	1	2	3	1	880	0	15	14	1881	20
#SH  	1	2	4	1	880	0	15	14	1881	21
#SH  	1	2	5	1	880	0	15	14	1881	22
#SH  	1	2	6	1	880	0	15	14	1881	23
#SH  	1	2	7	1	880	0	15	14	1881	24
#SH  	1	2	8	1	880	0	15	14	1881	25
#SH  	1	2	9	1	880	0	15	14	1881	26
#SH  	1	2	10	1	880	0	15	14	1881	27
#SH  	1	2	11	1	880	0	15	14	1881	28
#SH  	1	2	12	1	880	0	15	14	1881	29
#SH  	1	2	13	1	880	0	15	14	1881	30
#SH  	1	2	14	1	880	0	15	14	1881	31
#SH  	1	2	15	1	880	0	15	14	1881	32
#SH  	1	2	16	1	880	0	15	14	1881	33
#SH  	1	2	17	1	880	0	15	14	1881	34
#SH  	1	2	18	1	880	0	15	14	1881	35
#SH  	1	3	1	1	880	0	15	14	1881	36
#SH  	1	3	2	1	880	0	15	14	1881	37
#SH  	1	3	3	1	880	0	15	14	1881	38
#SH  	1	3	4	1	880	0	15	14	1881	39
#SH  	1	3	5	1	880	0	15	14	1881	40
#SH  	1	3	6	1	880	0	15	14	1881	41
#SH  	1	3	7	1	880	0	15	14	1881	42
#SH  	1	3	8	1	880	0	15	14	1881	43
#SH  	1	3	9	1	880	0	15	14	1881	44
#SH  	1	3	10	1	880	0	15	14	1881	45
#SH  	1	3	11	1	880	0	15	14	1881	46
#SH  	1	3	12	1	880	0	15	14	1881	47
#SH  	1	3	13	1	880	0	15	14	1881	48
#SH  	1	3	14	1	880	0	15	14	1881	49
#SH  	1	3	15	1	880	0	15	14	1881	50
#SH  	1	3	16	1	880	0	15	14	1881	51
#SH  	1	3	17	1	880	0	15	14	1881	52
#SH  	1	3	18	1	880	0	15	14	1881	53
#SH  	1	4	1	1	880	0	15	14	1881	54
#SH  	1	4	2	1	880	0	15	14	1881	55
#SH  	1	4	3	1	880	0	15	14	1881	56
#SH  	1	4	4	1	880	0	15	14	1881	57
#SH  	1	4	5	1	880	0	15	14	1881	58
#SH  	1	4	6	1	880	0	15	14	1881	59
#SH  	1	4	7	1	880	0	15	14	1881	60
#SH  	1	4	8	1	880	0	15	14	1881	61
#SH  	1	4	9	1	880	0	15	14	1881	62
#SH  	1	4	10	1	880	0	15	14	1881	63
#SH  	1	4	11	1	880	0	15	13	1881	 0
#SH  	1	4	12	1	880	0	15	13	1881	 1
#SH  	1	4	13	1	880	0	15	13	1881	 2
#SH  	1	4	14	1	880	0	15	13	1881	 3
#SH  	1	4	15	1	880	0	15	13	1881	 4
#SH  	1	4	16	1	880	0	15	13	1881	 5
#SH  	1	4	17	1	880	0	15	13	1881	 6
#SH  	1	4	18	1	880	0	15	13	1881	 7
####
#SH  	1	1	15	1	880	0	15	13	1881	 8
#####
#SH  	1	5	1	1	880	0	15	13	1881	16
#SH  	1	5	2	1	880	0	15	13	1881	17
#SH  	1	5	3	1	880	0	15	13	1881	18
#SH  	1	5	4	1	880	0	15	13	1881	19
#SH  	1	5	5	1	880	0	15	13	1881	20
#SH  	1	5	6	1	880	0	15	13	1881	21
#SH  	1	5	7	1	880	0	15	13	1881	22
#SH  	1	5	8	1	880	0	15	13	1881	23
#SH  	1	5	9	1	880	0	15	13	1881	24
#SH  	1	5	10	1	880	0	15	13	1881	25
#SH  	1	5	11	1	880	0	15	13	1881	26
#SH  	1	5	12	1	880	0	15	13	1881	27
#SH  	1	5	13	1	880	0	15	13	1881	28
#SH  	1	5	14	1	880	0	15	13	1881	29
#SH  	1	5	15	1	880	0	15	13	1881	30
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	1	6	13	1	510	0	15	15	1881	0
EC  	1	6	14	1	510	0	15	15	1881	1
EC  	1	6	15	1	510	0	15	15	1881	2
EC  	1	6	16	1	510	0	15	15	1881	3
EC  	1	6	17	1	510	0	15	15	1881	4
EC  	1	6	18	1	510	0	15	15	1881	5
EC  	1	6	19	1	510	0	15	15	1881	6
EC  	1	6	20	1	510	0	15	15	1881	7
EC  	1	6	21	1	510	0	15	15	1881	8
EC  	1	6	22	1	510	0	15	15	1881	9
EC  	1	6	23	1	510	0	15	15	1881	10
EC  	1	6	24	1	510	0	15	15	1881	11
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	1	6	25	1	510	0	15	15	1881	12
EC  	1	6	26	1	510	0	15	15	1881	13
EC  	1	6	27	1	510	0	15	15	1881	14
EC  	1	6	28	1	510	0	15	15	1881	15
EC  	1	6	29	1	510	0	15	15	1881	16
EC  	1	6	30	1	510	0	15	15	1881	17
EC  	1	6	31	1	510	0	15	15	1881	18
EC  	1	6	32	1	510	0	15	15	1881	19
EC  	1	6	33	1	510	0	15	15	1881	20
EC  	1	6	34	1	510	0	15	15	1881	21
EC  	1	6	35	1	510	0	15	15	1881	22
EC  	1	6	36	1	510	0	15	15	1881	23
EC  	1	4	21	1	510	0	15	16	1881	0
EC  	1	4	22	1	510	0	15	16	1881	1
EC  	1	4	23	1	510	0	15	16	1881	2
EC  	1	4	24	1	510	0	15	16	1881	3
EC  	1	4	25	1	510	0	15	16	1881	4
EC  	1	4	26	1	510	0	15	16	1881	5
EC  	1	4	27	1	510	0	15	16	1881	6
EC  	1	4	28	1	510	0	15	16	1881	7
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	1	4	29	1	510	0	15	16	1881	8
EC  	1	4	30	1	510	0	15	16	1881	9
EC  	1	4	31	1	510	0	15	16	1881	10
EC  	1	4	32	1	510	0	15	16	1881	11
EC  	1	4	33	1	510	0	15	16	1881	12
EC  	1	4	34	1	510	0	15	16	1881	13
EC  	1	4	35	1	510	0	15	16	1881	14
EC  	1	4	36	1	510	0	15	16	1881	15
EC  	1	5	1	1	510	0	15	16	1881	16
EC  	1	5	2	1	510	0	15	16	1881	17
EC  	1	5	3	1	510	0	15	16	1881	18
EC  	1	5	4	1	510	0	15	16	1881	19
EC  	1	5	5	1	510	0	15	16	1881	20
EC  	1	5	6	1	510	0	15	16	1881	21
EC  	1	5	7	1	510	0	15	16	1881	22
EC  	1	5	8	1	510	0	15	16	1881	23
EC  	1	5	9	1	510	0	15	16	1881	24
EC  	1	5	10	1	510	0	15	16	1881	25
EC  	1	5	11	1	510	0	15	16	1881	26
EC  	1	5	12	1	510	0	15	16	1881	27
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	1	5	13	1	510	0	15	16	1881	28
EC  	1	5	14	1	510	0	15	16	1881	29
EC  	1	5	15	1	510	0	15	16	1881	30
EC  	1	5	16	1	510	0	15	16	1881	31
EC  	1	5	17	1	510	0	15	16	1881	32
EC  	1	5	18	1	510	0	15	16	1881	33
EC  	1	5	19	1	510	0	15	16	1881	34
EC  	1	5	20	1	510	0	15	16	1881	35
EC  	1	5	21	1	510	0	15	16	1881	36
EC  	1	5	22	1	510	0	15	16	1881	37
EC  	1	5	23	1	510	0	15	16	1881	38
EC  	1	5	24	1	510	0	15	16	1881	39
EC  	1	5	25	1	510	0	15	16	1881	40
EC  	1	5	26	1	510	0	15	16	1881	41
EC  	1	5	27	1	510	0	15	16	1881	42
EC  	1	5	28	1	510	0	15	16	1881	43
EC  	1	5	29	1	510	0	15	16	1881	44
EC  	1	5	30	1	510	0	15	16	1881	45
EC  	1	5	31	1	510	0	15	16	1881	46
EC  	1	5	32	1	510	0	15	16	1881	47
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	1	5	33	1	510	0	15	16	1881	48
EC  	1	5	34	1	510	0	15	16	1881	49
EC  	1	5	35	1	510	0	15	16	1881	50
EC  	1	5	36	1	510	0	15	16	1881	51
EC  	1	6	1	1	510	0	15	16	1881	52
EC  	1	6	2	1	510	0	15	16	1881	53
EC  	1	6	3	1	510	0	15	16	1881	54
EC  	1	6	4	1	510	0	15	16	1881	55
EC  	1	6	5	1	510	0	15	16	1881	56
EC  	1	6	6	1	510	0	15	16	1881	57
EC  	1	6	7	1	510	0	15	16	1881	58
EC  	1	6	8	1	510	0	15	16	1881	59
EC  	1	6	9	1	510	0	15	16	1881	60
EC  	1	6	10	1	510	0	15	16	1881	61
EC  	1	6	11	1	510	0	15	16	1881	62
EC  	1	6	12	1	510	0	15	16	1881	63
EC  	1	2	29	1	510	0	15	17	1881	0
EC  	1	2	30	1	510	0	15	17	1881	1
EC  	1	2	31	1	510	0	15	17	1881	2
EC  	1	2	32	1	510	0	15	17	1881	3
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC  	1	2	33	1	510	0	15	17	1881	4
EC  	1	2	34	1	510	0	15	17	1881	5
EC  	1	2	35	1	510	0	15	17	1881	6
EC  	1	2	36	1	510	0	15	17	1881	7
