######## Translation table for ROC # 16
######## Fri Jun 13 16:55:50 EDT 1997
######## By uid=1990(serov) gid=146(clas)
######## Version # 1
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC1 	2	1	1	1	620	0	16	5	1881	0
EC1 	2	1	2	1	620	0	16	5	1881	1
EC1 	2	1	3	1	620	0	16	5	1881	2
EC1 	2	1	4	1	620	0	16	5	1881	3
EC1 	2	1	5	1	620	0	16	5	1881	4
EC1 	2	1	6	1	620	0	16	5	1881	5
EC1 	2	1	7	1	620	0	16	5	1881	6
EC1 	2	1	8	1	620	0	16	5	1881	7
EC1 	2	1	9	1	620	0	16	5	1881	8
EC1 	2	1	10	1	620	0	16	5	1881	9
EC1 	2	1	11	1	620	0	16	5	1881	10
EC1 	2	1	12	1	620	0	16	5	1881	11
EC1 	2	1	13	1	620	0	16	5	1881	12
EC1 	2	1	14	1	620	0	16	5	1881	13
EC1 	2	1	15	1	620	0	16	5	1881	14
EC1 	2	1	16	1	620	0	16	5	1881	15
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC1 	2	1	17	1	620	0	16	5	1881	16
EC1 	2	1	18	1	620	0	16	5	1881	17
EC1 	2	1	19	1	620	0	16	5	1881	18
EC1 	2	1	20	1	620	0	16	5	1881	19
EC1 	2	1	21	1	620	0	16	5	1881	20
EC1 	2	1	22	1	620	0	16	5	1881	21
EC1 	2	1	23	1	620	0	16	5	1881	22
EC1 	2	1	24	1	620	0	16	5	1881	23
EC1 	2	2	1	1	620	0	16	5	1881	24
EC1 	2	2	2	1	620	0	16	5	1881	25
EC1 	2	2	3	1	620	0	16	5	1881	26
EC1 	2	2	4	1	620	0	16	5	1881	27
EC1 	2	2	5	1	620	0	16	5	1881	28
EC1 	2	2	6	1	620	0	16	5	1881	29
EC1 	2	2	7	1	620	0	16	5	1881	30
EC1 	2	2	8	1	620	0	16	5	1881	31
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
EC1 	2	2	9	1	620	0	16	5	1881	32
EC1 	2	2	10	1	620	0	16	5	1881	33
EC1 	2	2	11	1	620	0	16	5	1881	34
EC1 	2	2	12	1	620	0	16	5	1881	35
EC1 	2	2	13	1	620	0	16	5	1881	36
EC1 	2	2	14	1	620	0	16	5	1881	37
EC1 	2	2	15	1	620	0	16	5	1881	38
EC1 	2	2	16	1	620	0	16	5	1881	39
EC1 	2	2	17	1	620	0	16	5	1881	40
EC1 	2	2	18	1	620	0	16	5	1881	41
