######## Translation table for ROC # 17
######## Tue Feb  3 20:05:17 EST 1998
######## By uid=1990(serov) gid=146(clas)
######## Version # 1
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	1	0	710	0	17	6	1877	0
TAGE	1	0	2	0	710	0	17	6	1877	1
TAGE	1	0	3	0	710	0	17	6	1877	2
TAGE	1	0	4	0	710	0	17	6	1877	3
TAGE	1	0	5	0	710	0	17	6	1877	4
TAGE	1	0	6	0	710	0	17	6	1877	5
TAGE	1	0	7	0	710	0	17	6	1877	6
TAGE	1	0	8	0	710	0	17	6	1877	7
TAGE	1	0	9	0	710	0	17	6	1877	8
TAGE	1	0	10	0	710	0	17	6	1877	9
TAGE	1	0	11	0	710	0	17	6	1877	10
TAGE	1	0	12	0	710	0	17	6	1877	11
TAGE	1	0	13	0	710	0	17	6	1877	12
TAGE	1	0	14	0	710	0	17	6	1877	13
TAGE	1	0	15	0	710	0	17	6	1877	14
TAGE	1	0	16	0	710	0	17	6	1877	15
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	17	0	710	0	17	6	1877	16
TAGE	1	0	18	0	710	0	17	6	1877	17
TAGE	1	0	19	0	710	0	17	6	1877	18
TAGE	1	0	20	0	710	0	17	6	1877	19
TAGE	1	0	21	0	710	0	17	6	1877	20
TAGE	1	0	22	0	710	0	17	6	1877	21
TAGE	1	0	23	0	710	0	17	6	1877	22
TAGE	1	0	24	0	710	0	17	6	1877	23
TAGE	1	0	25	0	710	0	17	6	1877	24
TAGE	1	0	26	0	710	0	17	6	1877	25
TAGE	1	0	27	0	710	0	17	6	1877	26
TAGE	1	0	28	0	710	0	17	6	1877	27
TAGE	1	0	29	0	710	0	17	6	1877	28
TAGE	1	0	30	0	710	0	17	6	1877	29
TAGE	1	0	31	0	710	0	17	6	1877	30
TAGE	1	0	32	0	710	0	17	6	1877	31
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	33	0	710	0	17	6	1877	32
TAGE	1	0	34	0	710	0	17	6	1877	33
TAGE	1	0	35	0	710	0	17	6	1877	34
TAGE	1	0	36	0	710	0	17	6	1877	35
TAGE	1	0	37	0	710	0	17	6	1877	36
TAGE	1	0	38	0	710	0	17	6	1877	37
TAGE	1	0	39	0	710	0	17	6	1877	38
TAGE	1	0	40	0	710	0	17	6	1877	39
TAGE	1	0	41	0	710	0	17	6	1877	40
TAGE	1	0	42	0	710	0	17	6	1877	41
TAGE	1	0	43	0	710	0	17	6	1877	42
TAGE	1	0	44	0	710	0	17	6	1877	43
TAGE	1	0	45	0	710	0	17	6	1877	44
TAGE	1	0	46	0	710	0	17	6	1877	45
TAGE	1	0	47	0	710	0	17	6	1877	46
TAGE	1	0	48	0	710	0	17	6	1877	47
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	97	0	710	0	17	7	1877	0
TAGE	1	0	98	0	710	0	17	7	1877	1
TAGE	1	0	99	0	710	0	17	7	1877	2
TAGE	1	0	100	0	710	0	17	7	1877	3
TAGE	1	0	101	0	710	0	17	7	1877	4
TAGE	1	0	102	0	710	0	17	7	1877	5
TAGE	1	0	103	0	710	0	17	7	1877	6
TAGE	1	0	104	0	710	0	17	7	1877	7
TAGE	1	0	105	0	710	0	17	7	1877	8
TAGE	1	0	106	0	710	0	17	7	1877	9
TAGE	1	0	107	0	710	0	17	7	1877	10
