######## Translation table for ROC # 18
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TGTL	1	0	2	0	710	0	18	9	1190	1
TGTL	1	0	3	0	710	0	18	9	1190	2 
TGTL	1	0	4	0	710	0	18	9	1190	3 
TGTL	1	0	5	0	710	0	18	9	1190	4 
TGTL	1	0	6	0	710	0	18	9	1190	5 
TGTL	1	0	7	0	710	0	18	9	1190	6 
TGTL	1	0	8	0	710	0	18	9	1190	7
TGTL	1	0	9	0	710	0	18	9	1190	8
TGTL	1	0	10	0	710	0	18	9	1190	9
TGTL	1	0	11	0	710	0	18	9	1190	10
TGTL	1	0	12	0	710	0	18	9	1190	11 
TGTL	1	0	13	0	710	0	18	9	1190	12
TGTL	1	0	14	0	710	0	18	9	1190	13
TGTL	1	0	15	0	710	0	18	9	1190	14
TGTL	1	0	16	0	710	0	18	9	1190	15
TGTL	1	0	17	0	710	0	18	9	1190	16
#
REF 	0	18	9	0	310	0	18	9	1190	0
#
