######## Translation table for ROC # 31
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
#simulation !!!!!!!!!
SC  	6	0	16	1	360	0	31	13	1881	15
SC  	6	0	15	1	360	0	31	13	1881	14
SC  	6	0	14	1	360	0	31	13	1881	13
SC  	6	0	13	1	360	0	31	13	1881	12
SC  	5	0	12	1	360	0	31	13	1881	11
SC  	5	0	11	1	360	0	31	13	1881	10
SC  	5	0	10	1	360	0	31	13	1881	9
SC  	5	0	9	1	360	0	31	13	1881	8
SC  	4	0	8	1	360	0	31	13	1881	7
SC  	4	0	7	1	360	0	31	13	1881	6
SC  	4	0	6	1	360	0	31	13	1881	5
SC  	4	0	5	1	360	0	31	13	1881	4
SC  	3	0	4	1	360	0	31	13	1881	3
SC  	3	0	3	1	360	0	31	13	1881	2
SC  	3	0	2	1	360	0	31	13	1881	1
#
SC  	6	0	32	1	360	0	31	15	1881	15
SC  	6	0	31	1	360	0	31	15	1881	14
SC  	6	0	30	1	360	0	31	15	1881	13
SC  	6	0	29	1	360	0	31	15	1881	12
SC  	5	0	28	1	360	0	31	15	1881	11
SC  	5	0	27	1	360	0	31	15	1881	10
SC  	5	0	26	1	360	0	31	15	1881	9
SC  	5	0	25	1	360	0	31	15	1881	8
SC  	4	0	24	1	360	0	31	15	1881	7
SC  	4	0	23	1	360	0	31	15	1881	6
SC  	4	0	22	1	360	0	31	15	1881	5
SC  	4	0	21	1	360	0	31	15	1881	4
SC  	3	0	20	1	360	0	31	15	1881	3
SC  	3	0	19	1	360	0	31	15	1881	2
SC  	3	0	18	1	360	0	31	15	1881	1
#
#
#
#TPC #(0-5 ??) pad(1-3200) crate(0-5) slot(0-22) connector(0-7)
#
